Date	Close
16.09.08	93.16
17.09.08	89.90
18.09.08	84.94
19.09.08	95.49
22.09.08	94.20
23.09.08	95.23
24.09.08	95.53
25.09.08	99.09
26.09.08	98.18
29.09.08	90.99
30.09.08	91.47
01.10.08	91.28
02.10.08	90.00
03.10.08	94.14
06.10.08	85.01
07.10.08	81.67
08.10.08	75.38
09.10.08	74.25
10.10.08	67.41
13.10.08	76.83
14.10.08	80.92
15.10.08	74.10
16.10.08	67.80
17.10.08	68.63
20.10.08	69.53
21.10.08	69.83
22.10.08	65.46
23.10.08	62.50
24.10.08	57.52
27.10.08	49.41
28.10.08	45.79
29.10.08	57.81
30.10.08	58.90
31.10.08	55.12
03.11.08	57.43
04.11.08	65.47
05.11.08	65.41
06.11.08	58.78
07.11.08	62.28
10.11.08	61.94
11.11.08	56.90
12.11.08	52.71
13.11.08	51.11
14.11.08	53.13
17.11.08	50.98
18.11.08	50.84
19.11.08	48.08
20.11.08	46.96
21.11.08	44.31
24.11.08	53.43
25.11.08	52.72
26.11.08	51.64
27.11.08	56.82
28.11.08	61.95
01.12.08	57.80
02.12.08	60.61
03.12.08	60.95
04.12.08	63.61
05.12.08	62.39
08.12.08	70.27
09.12.08	71.06
10.12.08	72.36
11.12.08	71.10
12.12.08	68.92
15.12.08	67.91
16.12.08	70.79
17.12.08	68.95
18.12.08	69.66
19.12.08	66.49
22.12.08	69.10
23.12.08	69.59
29.12.08	70.68
30.12.08	71.25
02.01.09	73.30
05.01.09	73.09
06.01.09	69.54
07.01.09	66.98
08.01.09	63.34
09.01.09	67.26
12.01.09	69.35
13.01.09	66.69
14.01.09	63.76
15.01.09	60.65
16.01.09	62.46
19.01.09	60.61
20.01.09	57.09
21.01.09	57.31
22.01.09	59.69
23.01.09	57.61
26.01.09	61.95
27.01.09	60.72
28.01.09	66.50
29.01.09	65.25
30.01.09	62.80
02.02.09	60.52
03.02.09	61.53
04.02.09	63.30
05.02.09	63.86
06.02.09	64.80
09.02.09	68.21
10.02.09	63.95
11.02.09	63.56
12.02.09	61.71
13.02.09	61.27
16.02.09	60.18
17.02.09	56.13
18.02.09	54.63
19.02.09	54.72
20.02.09	49.81
23.02.09	48.79
24.02.09	46.85
25.02.09	46.70
26.02.09	52.49
27.02.09	50.95
02.03.09	48.83
03.03.09	47.79
04.03.09	51.70
05.03.09	46.59
06.03.09	46.25
09.03.09	46.58
10.03.09	50.67
11.03.09	51.80
12.03.09	52.43
13.03.09	53.57
16.03.09	55.53
17.03.09	56.91
18.03.09	57.92
19.03.09	61.58
20.03.09	60.79
23.03.09	64.17
24.03.09	62.53
25.03.09	62.30
26.03.09	64.63
27.03.09	63.08
30.03.09	57.89
31.03.09	60.10
01.04.09	61.41
02.04.09	67.18
03.04.09	67.75
06.04.09	65.50
07.04.09	64.15
08.04.09	64.79
09.04.09	66.51
14.04.09	67.93
15.04.09	68.04
16.04.09	68.88
17.04.09	69.06
20.04.09	65.54
21.04.09	65.74
22.04.09	68.42
23.04.09	66.91
24.04.09	66.68
27.04.09	64.75
28.04.09	64.03
29.04.09	66.58
30.04.09	69.74
04.05.09	71.96
05.05.09	71.84
06.05.09	73.97
07.05.09	71.94
08.05.09	75.37
11.05.09	75.93
12.05.09	75.61
13.05.09	69.74
14.05.09	69.62
15.05.09	68.89
18.05.09	71.09
19.05.09	72.37
20.05.09	71.00
21.05.09	67.76
22.05.09	67.83
25.05.09	68.19
26.05.09	69.63
27.05.09	70.55
28.05.09	69.25
29.05.09	69.40
01.06.09	72.10
02.06.09	71.40
03.06.09	70.50
04.06.09	70.33
05.06.09	71.06
08.06.09	69.10
09.06.09	67.90
10.06.09	68.88
11.06.09	69.25
12.06.09	67.90
15.06.09	65.65
16.06.09	65.04
17.06.09	63.56
18.06.09	65.40
19.06.09	65.30
22.06.09	62.74
23.06.09	63.21
24.06.09	65.20
25.06.09	64.72
26.06.09	63.19
29.06.09	65.33
30.06.09	65.63
01.07.09	67.93
02.07.09	64.94
03.07.09	64.70
